,num,acc
0,132,0.37037037037037035
1,171,0.43859649122807015
2,210,0.42884990253411304
3,249,0.42884990253411304
4,288,0.4580896686159844
5,327,0.4619883040935672
6,366,0.5341130604288499
7,405,0.41325536062378165
8,444,0.46393762183235865
9,483,0.41130604288499023
10,522,0.5263157894736842
11,561,0.5204678362573099
12,600,0.4502923976608187
13,639,0.5789473684210527
14,678,0.5789473684210527
15,717,0.5886939571150097
16,756,0.6023391812865497
17,795,0.5925925925925926
18,834,0.6101364522417154
